"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"경기도 양평군 양서면(4183033000)","6,820","6,820","323","505","555","542","841","1,213","1,530","881","390","39","1","7,018","7,018","290","487","479","562","825","1,271","1,598","933","477","92","4"
"경기도 양평군 옥천면(4183034000)","4,118","4,118","181","303","356","366","512","698","972","517","194","19","0","3,945","3,945","185","266","223","304","468","674","943","513","307","62","0"
"경기도 양평군 서종면(4183035000)","4,958","4,958","257","458","314","368","685","913","1,100","632","213","18","0","5,019","5,019","232","422","238","355","755","864","1,155","655","274","68","1"
"경기도 양평군 단월면(4183036000)","2,029","2,029","42","131","114","131","214","338","575","326","151","7","0","1,906","1,906","47","108","78","99","162","322","516","305","224","44","1"
"경기도 양평군 청운면(4183037000)","1,939","1,939","42","78","108","112","171","349","553","354","157","15","0","1,828","1,828","32","66","69","75","135","283","531","329","250","56","2"
"경기도 양평군 양동면(4183038000)","2,298","2,298","65","95","144","142","193","387","683","389","179","20","1","2,247","2,247","41","97","92","117","158","383","632","377","270","77","3"
"경기도 양평군 지평면(4183039500)","3,457","3,457","103","200","212","197","311","575","1,010","569","251","27","2","3,327","3,327","84","126","188","168","261","557","908","542","398","92","3"
"경기도 양평군 용문면(4183040000)","9,214","9,214","496","820","799","854","1,185","1,561","1,894","1,043","513","49","0","9,184","9,184","505","753","618","748","1,162","1,511","1,868","1,138","734","142","5"
"경기도 양평군 개군면(4183041000)","2,603","2,603","79","141","187","160","296","456","699","393","178","14","0","2,501","2,501","86","145","124","154","239","391","647","420","238","55","2"
"강원특별자치도  (5100000000)","766,338","766,338","45,416","66,436","90,011","84,481","104,530","135,457","139,169","66,729","31,127","2,880","102","757,323","757,323","43,634","61,627","70,474","73,474","100,812","127,049","138,331","77,089","54,336","10,182","315"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","141,529","141,529","9,452","13,571","19,903","17,779","19,790","23,529","21,796","10,030","5,121","534","24","145,166","145,166","9,118","12,657","17,186","16,412","20,401","23,394","23,055","12,270","8,975","1,662","36"
"강원특별자치도 춘천시 신북읍(5111025000)","3,616","3,616","99","185","356","341","397","633","896","424","247","38","0","3,576","3,576","113","178","240","255","350","580","812","504","453","86","5"
"강원특별자치도 춘천시 동면(5111031000)","9,422","9,422","762","1,340","990","891","1,591","1,678","1,394","538","210","27","1","9,666","9,666","721","1,227","870","948","1,717","1,530","1,493","622","426","110","2"
"강원특별자치도 춘천시 동산면(5111032000)","745","745","6","24","48","55","60","114","254","116","64","4","0","628","628","12","17","36","23","38","81","189","110","103","18","1"
